service,gender,date,start,end,note,capacity
pool,male,1404-06-05,16:00,22:00,"سانس عصر آقایان",20
pool,female,1404-06-05,20:00,24:00,"سانس شبانه خانم‌ها",15
massage,male,1404-06-06,14:00,18:00,"ماساژ عصر",8
massage,female,1404-06-06,18:00,22:00,"ماساژ شبانه",8
sauna,male,1404-06-07,16:00,20:00,"سونا عصر",12
sauna,female,1404-06-07,20:00,24:00,"سونا شبانه",12
pool,male,1404-06-08,08:00,12:00,"سانس صبح",25
pool,female,1404-06-08,12:00,16:00,"سانس ظهر",20
gym,male,1404-06-09,06:00,10:00,"باشگاه صبح",30
gym,female,1404-06-09,10:00,14:00,"باشگاه ظهر",25
